Link Name,Template [listid],Opacity,Delay,User Control,Source,Campaign,Display Count,Signup Count,Conversion Rate,Linkid,URL,Preview Link,Active
Wassail,GeneralGetTastySmall,50,1,N,Google,Chirstmas,30,0,0.00%,82F5ABC9-49B1-5A12-3D96-0002EA16F844,http://www.recipe4living.com/recipes/luscious_wassail_recipe.htm,http://www.recipe4living.com/recipes/luscious_wassail_recipe.htm?cid=82F5ABC9-49B1-5A12-3D96-0002EA16F844,Y
Eggnog Non Al,GeneralGetTastySmall,50,1,N,Google,Chirstmas,16,2,12.50%,C3697314-7081-3088-277A-6C17FC06144D,http://www.recipe4living.com/recipes/egg_nog.htm,http://www.recipe4living.com/recipes/egg_nog.htm?cid=C3697314-7081-3088-277A-6C17FC06144D,Y
Xmas Appetizers,GeneralGetTastySmall,50,1,N,Google,Chirstmas,85,12,14.12%,715C3D3D-7E3E-4985-7DA3-8FC34F8DE888,http://www.recipe4living.com/articles/10_classic_christmas_appetizers.htm,http://www.recipe4living.com/articles/10_classic_christmas_appetizers.htm?cid=715C3D3D-7E3E-4985-7DA3-8FC34F8DE888,Y
Fry Turkey,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,1,0,0.00%,C1AE469A-B8AE-9B97-76C8-FFDD7A3C388B,http://www.recipe4living.com/articles/5_keys_to_frying_the_perfect_turkey.htm,http://www.recipe4living.com/articles/5_keys_to_frying_the_perfect_turkey.htm?cid=C1AE469A-B8AE-9B97-76C8-FFDD7A3C388B,Y
Cheap Thanksgiving,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,1,0,0.00%,3861C621-97C2-53AF-4FEF-6C32A19FFEAC,http://www.recipe4living.com/articles/a_cheap_and_delicious_turkey_day_12_easy_thanksgiving_recipes.htm,http://www.recipe4living.com/articles/a_cheap_and_delicious_turkey_day_12_easy_thanksgiving_recipes.htm?cid=3861C621-97C2-53AF-4FEF-6C32A19FFEAC,Y
Last Minute,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,1,0,0.00%,C0E7DE9E-EE4B-A299-7DEC-BD58C6F791BB,http://www.recipe4living.com/articles/procrastinated_9_last_minute_super_easy_thanksgiving_recipes.htm,http://www.recipe4living.com/articles/procrastinated_9_last_minute_super_easy_thanksgiving_recipes.htm?cid=C0E7DE9E-EE4B-A299-7DEC-BD58C6F791BB,Y
Crock Pot Potatoes,CrockpotEasy1Small,50,1,N,Google,crockpot,806,119,14.76%,69E1A3C7-6B0D-9D9B-9687-C3B289B346FA,http://www.recipe4living.com/recipes/crockpot?searchterm_extra=potato,http://www.recipe4living.com/recipes/crockpot?searchterm_extra=potato&cid=69E1A3C7-6B0D-9D9B-9687-C3B289B346FA,Y
Crock Pot Mashed,CrockpotEasy1Small,50,1,N,Google,crockpot,2355,184,7.81%,98E5A32E-5242-FA02-52C3-B2256B0D1D30,http://www.recipe4living.com/recipes/rustic_garlic_mashed_potatoes.htm,http://www.recipe4living.com/recipes/rustic_garlic_mashed_potatoes.htm?cid=98E5A32E-5242-FA02-52C3-B2256B0D1D30,Y
Defrost Turkey,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,607,26,4.28%,FAC7EC36-E27A-748B-CFF3-FCDD75372DAD,http://www.recipe4living.com/articles/how_to_thaw_your_thanksgiving_turkey.htm,http://www.recipe4living.com/articles/how_to_thaw_your_thanksgiving_turkey.htm?cid=FAC7EC36-E27A-748B-CFF3-FCDD75372DAD,Y
Cooking Times,GeneralGetTastySmall,50,1,N,Google,Thanksgiving,577,38,6.59%,D8443AE1-AC27-C12A-91A4-53FB0BC91546,http://www.recipe4living.com/articles/meat_cooking_times_and_temperatures.htm,http://www.recipe4living.com/articles/meat_cooking_times_and_temperatures.htm?cid=D8443AE1-AC27-C12A-91A4-53FB0BC91546,Y
